right_word,wrong_word
Sao Paulo,sao paulo
Sao Paulo,sao paulo sp
Sao Paulo,sao pauo
Sao Paulo,sao paulop
Sao Paulo,sao paulo - sp
Sao Paulo,são paulo
Sao Paulo,sao paluo
Sao Paulo,sp
Pirituba,pirituba
Sao Paulo,SP / SP
Osasco,osasco
Carapicuiba,carapicuiba
Barueri,barueri
Carapicuiba,carapicuiba / sao paulo
Santana de Parnaiba,santana de parnaiba
itapevi,itapevi
Cotia,cotia
Vargem Grande Paulista,vargem grande paulista
Taboao da Serra,"taboao da serra, tabao da serra"
Embu das Artes,embu das artes
itapecerica da Serra,itapecerica da serra
Embu-Guacu,embu guacu
Guarulhos,guarulhos
Aruja,aruja
Guarulhos,garulhos
Mairipora,mairipora
Caieiras,caieiras
Cajamar,cajamar
Franco da Rocha,franco da rocha
Francisco Morato,francisco morato
Ferraz de Vasconcelos,ferraz de vasconcelos
Poa,poa
itaquaquecetuba,itaquaquecetuba
Suzano,suzano
Mogi das Cruzes,mogi das cruses
Mogi das Cruzes,mogi das cruzes
Mogi das Cruzes,mogi das cruzes / sp
Santo Andre,santo andre
Santo Andre,sando andre
Santo Andre,santo andre/sao paulo
Maua,maua
Maua,maua/sao paulo
Ribeirao Pires,ribeirao pires
Sao Caetano do Sul,sao caetano do sul
Sao Bernardo do Campo,sao bernardo do campo
Sao Bernardo do Campo,ao bernardo do campo
Sao Bernardo do Campo,sao bernardo do capo
Diadema,diadema
Sao Bernardo do Campo,sbc/sp
Santos,santos
Sao Bernardo do Campo,sbc
Bertioga,bertioga
Sao Vicente,sao vicente
Guaruja,guaruja
Vicente de Carvalho,vicente de carvalho
Sao Sebastiao,sao sebastiao
Ubatuba,ubatuba
Praia Grande,praia grande
Registro,registro
Cananeia,cananeia
Taubate,taubate
Sao Jose dos Campos,sao jose dos campos
Monteiro Lobato,monteiro lobato
Jambeiro,jambeiro
Jacarei,jacarei
Guaratingueta,guaratingueta
Jacarei,jacarei / sao paulo
Aparecida,aparecida
Lorena,lorena
Cruzeiro,cruzeiro
Braganca Paulista,braganca paulista
