geolocation_zip_code_prefix,geolocation_state,geolocation_city,geolocation_lat,geolocation_lng
1001,SP,sao paulo,-23.55027123580127,-46.63404671419185
1002,SP,sao paulo,-23.547657125819924,-46.634990509252304
1003,SP,sao paulo,-23.548991491863838,-46.63565342364827
1004,SP,sao paulo,-23.54982914119189,-46.634792029508745
1005,SP,sao paulo,-23.549487008784876,-46.636650259509196
1006,SP,sao paulo,-23.550126527377728,-46.63604449748152
1007,SP,sao paulo,-23.549952554421758,-46.637155224969106
1008,SP,sao paulo,-23.545832387811174,-46.6357748568096
1009,SP,sao paulo,-23.546823244718247,-46.63646088115627
1010,SP,sao paulo,-23.546439302347167,-46.6352603933944
1011,SP,sao paulo,-23.546635787708862,-46.63541799110013
1012,SP,sao paulo,-23.54780758661154,-46.63484393782474
1013,SP,sao paulo,-23.547173615806592,-46.63423526618314
1014,SP,sao paulo,-23.546137052876432,-46.633596671856715
1015,SP,sao paulo,-23.547453278685847,-46.632179646940735
1016,SP,sao paulo,-23.549094879405775,-46.632111638548466
1017,SP,sao paulo,-23.5494556250812,-46.63130341133385
1018,SP,sao paulo,-23.55135443999642,-46.632762349404075
1019,SP,sao paulo,-23.55177981410472,-46.63078430228562
1020,SP,sao paulo,-23.55221160889089,-46.62974496093933
1021,SP,sao paulo,-23.542760509069844,-46.632068974809
1022,SP,sao paulo,-23.5447808268089,-46.632062988389954
1023,SP,sao paulo,-23.542476540346616,-46.63139551195831
1024,SP,sao paulo,-23.54129200852859,-46.62987363351742
1025,SP,sao paulo,-23.54030305184919,-46.63108692434232
1026,SP,sao paulo,-23.539639337473716,-46.63222383464826
1027,SP,sao paulo,-23.538098874534025,-46.630470961476426
1028,SP,sao paulo,-23.535907614948652,-46.63367067555855
1029,SP,sao paulo,-23.540574380051,-46.63312870430693
1030,SP,sao paulo,-23.54053667787656,-46.63306990093089
1031,SP,sao paulo,-23.541357903344544,-46.634942269447954
1032,SP,sao paulo,-23.53990660945406,-46.63510145091716
1033,SP,sao paulo,-23.53893715715918,-46.63600044111117
1034,SP,sao paulo,-23.542551059216198,-46.63731863312644
1035,SP,sao paulo,-23.54177194468869,-46.64130667638727
1036,SP,sao paulo,-23.541904904047385,-46.6409619849889
1037,SP,sao paulo,-23.545497041957123,-46.63913559488178
1038,SP,sao paulo,-23.543879126646612,-46.63995414482916
1039,SP,sao paulo,-23.54134179223615,-46.63909044885898
1040,SP,sao paulo,-23.541310361905325,-46.638710138593936
1041,SP,sao paulo,-23.54405267064933,-46.639868053701385
1042,SP,sao paulo,-23.544723647986945,-46.64061595961861
1043,SP,sao paulo,-23.545752314880374,-46.64148143916985
1044,SP,sao paulo,-23.545556845099416,-46.64150085333575
1045,SP,sao paulo,-23.54245035597841,-46.64271110763996
1046,SP,sao paulo,-23.545839270149788,-46.64372186587571
1047,SP,sao paulo,-23.546093892861716,-46.64094913993112
1048,SP,sao paulo,-23.547043330954565,-46.63977201362359
1049,SP,sao paulo,-23.547460308793546,-46.639581800897325
1050,SP,sao paulo,-23.54918448256682,-46.64305021047952
1101,SP,sao paulo,-23.528286860378213,-46.631957535031056
1102,SP,sao paulo,-23.52793336747173,-46.630953438055755
1103,SP,sao paulo,-23.53564448920883,-46.628957868399795
1104,SP,sao paulo,-23.534978869008448,-46.62930120414795
1105,SP,sao paulo,-23.534160979143845,-46.62904232881417
1106,SP,sao paulo,-23.53015603403614,-46.628127048753164
1107,SP,sao paulo,-23.527411272407093,-46.62818974523777
1108,SP,sao paulo,-23.527232171325494,-46.63035441819986
1109,SP,sao paulo,-23.524742023073763,-46.626928981251915
1120,SP,sao paulo,-23.529895160257514,-46.63965745419833
1121,SP,sao paulo,-23.52762513868473,-46.63496850363346
1122,SP,sao paulo,-23.531017520315153,-46.638888124388195
1123,SP,sao paulo,-23.52899885670685,-46.63644454327774
1124,SP,sao paulo,-23.52845189837515,-46.63334344848351
1125,SP,sao paulo,-23.526866449456545,-46.64047966426979
1126,SP,sao paulo,-23.527366250757087,-46.6396273090183
1127,SP,sao paulo,-23.525824306501317,-46.64204512454138
1128,SP,sao paulo,-23.523933247497844,-46.64261540204674
1129,SP,sao paulo,-23.523830364662437,-46.64380226016742
1130,SP,sao paulo,-23.524811963718196,-46.644911697855385
1131,SP,sao paulo,-23.522408353720177,-46.63910252673595
1132,SP,sao paulo,-23.52278406067285,-46.64841327400502
1133,SP,sao paulo,-23.519990916902305,-46.65377696841709
1134,SP,sao paulo,-23.519599841358772,-46.651460468483705
1135,SP,sao paulo,-23.52553112615323,-46.65167891122211
